,Unnamed: 0,abstract,date,desk,headline,id,locations,section,snippet,source,subjects,type,url,word_count
2,2,b'Foreign visitors face new scurity measures at American airports; officials for first time are photographing and electronically fingerprinting travelers from 27 industrialized nations; policy shift will affect 13 million visitors each year who can currently travel to US for up to 90 days without visa; change was made after intelligence reports indicated that terrorists might take advantage of provision allowing travelers from industrialized countries to travel to US with little scrutiny; photos (M)',2004-10-01,National Desk,b'Foreign Travelers Face Fingerprints and Jet Lag',nyt://article/bd840646-3c59-5ed3-801b-d9ae91edd0c2,[],U.S.,b'Foreign visitors face new scurity measures at American airports; officials for first time are photographing and electronically fingerprinting travelers from 27 industrialized nations; policy shift will affect 13 million visitors each year who can ...',The New York Times,"['AIRLINES AND AIRPLANES', 'AIRPORTS', 'IMMIGRATION AND REFUGEES', 'Fingerprinting', 'Security and Warning Systems', 'Photography', 'Terrorism']",News,https://www.nytimes.com/2004/10/01/politics/foreign-travelers-face-fingerprints-and-jet-lag.html,872.0
4,4,"b'During presidential debate, argument over whether toppling Saddam Hussein was right course for nation confronted with terrorist threat captured starkly different ways Pres Bush and Sen Kerry view question of when diplomacy has been exhausted, and how to focus resources of superpower that cannot deploy its armies on every potential battlefield (M)'",2004-10-01,National Desk,"b'On Iraq and North Korea, Two Interpretations of Diplomacy and Coalitions'",nyt://article/586e8633-824e-5004-b7d5-37c4f596e8d0,"['Iraq', 'North Korea']",U.S.,"b'During presidential debate, argument over whether toppling Saddam Hussein was right course for nation confronted with terrorist threat captured starkly different ways Pres Bush and Sen Kerry view question of when diplomacy has been exhausted, and ...'",The New York Times,"['Presidential Elections (US)', 'United States International Relations', 'ELECTION ISSUES', 'Debating', 'Terrorism', 'Presidential Election of 2004', 'UNITED STATES ARMAMENT AND DEFENSE']",News,https://www.nytimes.com/2004/10/01/politics/campaign/on-iraq-and-north-korea-two-interpretations-of-diplomacy.html,1499.0
9,9,"b'Samarra, Iraq, is retaken by over 4,000 American and Iraqi troops after summerlong control by insurgents; Samarra has 214,000 residents, who are mainly Sunnis; US and Iraqi officials hope to bring peace to region in advance of planned January elections in effort to secure voting rights for all Iraqi citizens; American officers involved in Samarra offensive hold that mission is at direct request of interim Prime Min Ayad Allawi; peaceful attempts to take over city, as recently as two days ago, had failed (M)'",2004-10-01,Foreign Desk,b'Forces Move Against Iraqi Rebel Stronghold',nyt://article/3ddfbcc5-d6f1-5bb4-87f2-59ff9bc811fa,"['Iraq', 'Samarra (Iraq)']",U.S.,"b'Samarra, Iraq, is retaken by over 4,000 American and Iraqi troops after summerlong control by insurgents; Samarra has 214,000 residents, who are mainly Sunnis; US and Iraqi officials hope to bring peace to region in advance of planned January elec...'",The New York Times,"['United States International Relations', 'VIOLENCE', 'ARMAMENT, DEFENSE AND MILITARY FORCES', 'Politics and Government', 'Elections', 'Terrorism', 'UNITED STATES ARMAMENT AND DEFENSE']",News,https://www.nytimes.com/2004/10/01/world/middleeast/forces-move-against-iraqi-rebel-stronghold.html,682.0
8,8,"b""Two car bombs tear through street celebration in Baghdad, killing 41 Iraqis, at least 34 of them children, and wounding and maiming 139 more; bombers drive their cars into crowds of children waiting to receive candy from American soldiers during festivities marking opening of new sewer plant in capital; attack bespeaks murderous calculation employed by insurgents, who are trying to topple American-backed enterprise in Iraq and who see completion of sewer plant as symbol of progress for that enterprise; 10 American soldiers are wounded in attack; newly refurbished sewage plant escapes unscathed, except for walls that are spattered with flesh and blood of the dead; less than mile away, car bomb crashes into Iraqi National Guard post, causing unknown number of casualties; earlier, another car bomb strikes military checkpoint, killing one American soldier and two Iraqi soldiers and wounding 60 more; Iraq's deputy prime minister Barham Salih blames attacks on terrorists who are trying to derail democratic process in Iraq; photos; map (M)""",2004-10-01,Foreign Desk,"b'2 Car Bombings in Iraq Kill 41, Many Children'",nyt://article/1e2356ba-3ba4-59d1-bde6-8dbefe716324,"['Iraq', 'Baghdad (Iraq)']",U.S.,"b'Two car bombs tear through street celebration in Baghdad, killing 41 Iraqis, at least 34 of them children, and wounding and maiming 139 more; bombers drive their cars into crowds of children waiting to receive candy from American soldiers during f...'",The New York Times,"['United States International Relations', 'VIOLENCE', 'Bombs and Explosives', 'Children and Youth', 'Civil War and Guerrilla Warfare', 'Freedom and Human Rights', 'Terrorism', 'UNITED STATES ARMAMENT AND DEFENSE']",News,https://www.nytimes.com/2004/10/01/world/middleeast/2-car-bombings-in-iraq-kill-41-many-children.html,1504.0
7,7,"b'Members of 9/11 commission call on House Republican leadership to jettison some provisions tacked onto emerging measure to reorganize United States intelligence agencies, saying such add-ons threaten enactment of legislation; commission leaders single out proposal to allow suspected terrorists to be deported to nations where they could be tortured as well as proposed regulations on Social Security registration (M)'",2004-10-01,National Desk,"b""9/11 Commissioners Say Bill's Added Provisions Are Harmful""",nyt://article/7e787ef0-2d1c-5b0b-91cc-8fdf6d09e9a3,['United States'],U.S.,"b'Members of 9/11 commission call on House Republican leadership to jettison some provisions tacked onto emerging measure to reorganize United States intelligence agencies, saying such add-ons threaten enactment of legislation; commission leaders si...'",The New York Times,"['Espionage', 'Deportation', 'Reform and Reorganization', 'Intelligence Services', 'Social Security (US)', 'Law and Legislation', 'Freedom and Human Rights', 'Terrorism', 'Torture']",News,https://www.nytimes.com/2004/10/01/politics/911-commissioners-say-bills-added-provisions-are-harmful.html,708.0
6,6,"b""Zabul Province Governor Khial Muhammad Husseini reports that seven Afghan soldiers were killed in suspected Taliban attack on American base; holds attack is evidence of Taliban's intent to disrupt upcoming elections (S)""",2004-10-01,Foreign Desk,b'World Briefing | Asia: Afghanistan: 7 Soldiers Killed In Attack',nyt://article/9f1801ca-dc1d-5d17-a425-30901846c215,"['Zabul Province (Afghanistan)', 'AFGHANISTAN']",U.S.,"b""Zabul Province Governor Khial Muhammad Husseini reports that seven Afghan soldiers were killed in suspected Taliban attack on American base; holds attack is evidence of Taliban's intent to disrupt upcoming elections (S)""",The New York Times,"['United States International Relations', 'ARMAMENT, DEFENSE AND MILITARY FORCES', 'Military Bases and Installations', 'Politics and Government', 'Elections', 'Terrorism', 'UNITED STATES ARMAMENT AND DEFENSE']",News,https://www.nytimes.com/2004/10/01/washington/world/world-briefing-asia-afghanistan-7-soldiers-killed-in.html,95.0
5,5,"b""Director of Nebraska branch of American Civil Liberties Union, Tim Butz, files complaint against Nebraska State Patrol, saying he was harassed by two troopers after screening of documentary film critical of USA Patriot Act; says men made 'thinly veiled threats' during screening of Robert Greenwald film Unconstitutional: The War on Our Civil Liberties (M)""",2004-10-01,National Desk,b'Activist Asserts Harassment',nyt://article/0aaa5650-f748-5221-b017-e792dbe060ee,['Nebraska'],U.S.,"b""Director of Nebraska branch of American Civil Liberties Union, Tim Butz, files complaint against Nebraska State Patrol, saying he was harassed by two troopers after screening of documentary film critical of USA Patriot Act; says men made 'thinly v...""",The New York Times,"['Police Brutality and Misconduct', 'MOTION PICTURES', 'Freedom and Human Rights', 'Terrorism']",News,https://www.nytimes.com/2004/10/01/us/movies/threats-and-responses-civil-liberties-activist-asserts-harassment.html,399.0
3,3,b'United States Defense Department confirms death of one American soldier in Iraq (S)',2004-10-01,Foreign Desk,b'Names of the Dead',nyt://article/bf4b0a31-c3df-5ae3-a073-608db7dc9245,['Iraq'],U.S.,b'United States Defense Department confirms death of one American soldier in Iraq (S)',The New York Times,"['United States International Relations', 'Terrorism', 'UNITED STATES ARMAMENT AND DEFENSE']",List,https://www.nytimes.com/2004/10/01/washington/world/names-of-the-dead.html,44.0
0,0,"b""Article on issues raised by Pres Bush and Sen John Kerry in first debate; Kerry's position on Iraq has been consistent, but he has repeatedly changed his emphasis and has been unclear in expressing his views; both candidates call nuclear proliferation greatest threat to American security but differ on specifics and use facts loosely; Bush's statements on percentage of Al Qaeda operatives who have been brought to justice are seen as unreliable; both candidates seen as distorting actions taken or not taken on domestic security; photo (M)""",2004-10-02,National Desk,b'A Closer Look at Statements From the Debate',nyt://article/5b3b5eeb-c3d8-5032-a7d6-cfbb457add65,['Iraq'],U.S.,"b""Article on issues raised by Pres Bush and Sen John Kerry in first debate; Kerry's position on Iraq has been consistent, but he has repeatedly changed his emphasis and has been unclear in expressing his views; both candidates call nuclear prolifera...""",The New York Times,"['Presidential Elections (US)', 'ATOMIC WEAPONS', 'United States International Relations', 'ELECTION ISSUES', 'Debating', 'Ethics', 'Security and Warning Systems', 'Terrorism', 'Presidential Election of 2004', 'UNITED STATES ARMAMENT AND DEFENSE']",News,https://www.nytimes.com/2004/10/02/politics/campaign/a-closer-look-at-statements-from-the-debate.html,1746.0
99,99,"b""David Glenn article, in review of year's notable ideas and developments, on using network analysis to detect and break up terrorist organizations (M)""",2004-12-12,Magazine Desk,b'Kill Midlevel Terrorists',nyt://article/8c48d9a1-76e7-58ae-b8f6-af00e6d5b3f8,[],Magazine,"b""David Glenn article, in review of year's notable ideas and developments, on using network analysis to detect and break up terrorist organizations (M)""",The New York Times,['Terrorism'],News,https://www.nytimes.com/2004/12/12/magazine/kill-midlevel-terrorists.html,436.0
97,97,"b""Pakistani officials deny report about presence of Central Intelligence Agency search mission for terrorist leader Osama bin Laden in their country, and reject agency's conclusion that he is hiding in Pakistan's northwestern tribal area near Afghan border (M)""",2004-12-14,Foreign Desk,b'Pakistan Denies C.I.A. Is There Seeking bin Laden',nyt://article/53c49f51-3eb3-5f24-af69-f878aaa9fce2,"['Pakistan', 'AFGHANISTAN']",U.S.,"b""Pakistani officials deny report about presence of Central Intelligence Agency search mission for terrorist leader Osama bin Laden in their country, and reject agency's conclusion that he is hiding in Pakistan's northwestern tribal area near Afghan...""",The New York Times,"['United States International Relations', 'Terrorism']",News,https://www.nytimes.com/2004/12/14/washington/world/the-reach-of-war-pakistan-denies-cia-is-there-seeking-bin.html,307.0
96,96,"b'Brooklyn prosecutors in terrorism financing case may not call their chief witness Mohammed Alanssi to testify; Alanssi set himself on fire in front of White House in November in dispute with FBI, drawing attention to his history of role as informer; is central figure in sting operation that included luring Sheik Mohammed Ali Hassan al-Moayad and his aide Mohammed Mohsen Yahya Zayed to agree to accept money for terrorist groups; agent at meeting in Frankfurt, Germany, pretended to be Black Panther who was interested in donating $2.5 million to terrorist organizations; Sheik and Zayed are on tape agreeing to take money for Hamas and Al Qaeda; if only tapes are introduced, and Alanssi does not testify, defense may not be able to attack his criminal background; prosecutors file additional charges asserting that sheik and Zayed attempted to provide material support to terrorist groups (M)'",2004-12-14,Metropolitan Desk,b'Main Informer May Skip Stand in Terror Case',nyt://article/18c69a79-264b-50b4-9290-83059052d3ba,"['New York City', 'Frankfurt (Germany)']",New York,"b'Brooklyn prosecutors in terrorism financing case may not call their chief witness Mohammed Alanssi to testify; Alanssi set himself on fire in front of White House in November in dispute with FBI, drawing attention to his history of role as informe...'",The New York Times,"['RECORDINGS (AUDIO)', 'Immolation', 'Finances', 'White House (Washington, DC)', 'Terrorism']",News,https://www.nytimes.com/2004/12/14/nyregion/main-informer-may-skip-stand-in-terror-case.html,791.0
90,90,"b'Ahmed Abdel Sattar testifies that he sent letters and small amounts of money to imprisoned Muslims convicted in 1993 bombing of World Trade Center and separate failed plot to blow up tunnels and buildings in Manhattan; is co-defendant with lawyer Lynne Stewart in trial in New York City, where they are accused of helping Sheik Omar Abdel Rahman communicate instructions for terrorist attacks in Egypt from his prison cell; says he was carrying out acts of Islamic charity; prosecutor says Sattar was more deeply committed to fundamentalist Islamic cause then he admits; Sattar admits knowing Rahman advocated terrorism but says prosecutor misinterprets meaning of word terrorist in Koran (M)'",2004-12-14,Metropolitan Desk,b'Co-Defendant in Terror Trial Says He Sent Money to Imprisoned Muslims',nyt://article/2df7f10a-06a6-5466-a3bc-ad93c776780b,"['Egypt', 'New York City']",New York,b'Ahmed Abdel Sattar testifies that he sent letters and small amounts of money to imprisoned Muslims convicted in 1993 bombing of World Trade Center and separate failed plot to blow up tunnels and buildings in Manhattan; is co-defendant with lawyer ...',The New York Times,"['World Trade Center (NYC)', 'Bombs and Explosives', 'Islam', 'Terrorism']",News,https://www.nytimes.com/2004/12/14/nyregion/codefendant-in-terror-trial-says-he-sent-money-to-imprisoned.html,412.0
83,83,"b'Gov Mitt Romney, leader of national working group on safeguarding nation, says state and local agencies and private businesses must gather intelligence themselves and not just rely on federal government to protect America against terrorism, presentation by phone to Homeland Security Sec Tom Ridge and Homeland Security Advisory Council meeting, San Diego; says local law enforcement agencies cannot protect all possible terrorist targets and should devote more resources to intelligence to find terrorists before they act; wants states to marshal local agencies and businesses to collect data that might, when stitched together, point to potential attacks; photo (M)'",2004-12-15,National Desk,"b'States and Cities Must Hunt Terror Plots, Mass. Governor Says'",nyt://article/8c55edd4-fd49-5448-b92e-7912c74ac14f,[],U.S.,"b'Gov Mitt Romney, leader of national working group on safeguarding nation, says state and local agencies and private businesses must gather intelligence themselves and not just rely on federal government to protect America against terrorism, presen...'",The New York Times,"['Espionage', 'Terrorism']",News,https://www.nytimes.com/2004/12/15/us/states-and-cities-must-hunt-terror-plots-mass-governor-says.html,1056.0
94,94,"b'Campaign to encourage tourists to come to US starts this week in Britain, part of Commerce Department effort begun after terrorist attacks of Sept 11, 2001; $4 million campaign, by Los Angeles office of British agency M&C Saatchi, plays heavily on British love of American movies; photo (M)'",2004-12-15,Business/Financial Desk,"b'To Lure British Tourists to the U.S., Marketers Turn to Cinema'",nyt://article/5213eabf-fddf-573f-b5a8-379d5fcf2628,['Great Britain'],Business Day,"b'Campaign to encourage tourists to come to US starts this week in Britain, part of Commerce Department effort begun after terrorist attacks of Sept 11, 2001; $4 million campaign, by Los Angeles office of British agency M&C Saatchi, plays heavily on...'",The New York Times,"['MOTION PICTURES', 'ADVERTISING', 'ADVERTISING AND MARKETING', 'Travel and Vacations', 'Terrorism']",News,https://www.nytimes.com/2004/12/15/business/to-lure-british-tourists-to-the-us-marketers-turn-to-cinema.html,693.0
98,98,"b'Mahmoud Abbas, leading Palestinian election candidate, tells Arabic newspaper in London that armed uprising against Israel was mistake and must end; explicit condemnation suggests different strategy following death of Yasir Arafat; remarks follow killing of five Israeli soldiers by attackers who tunneled under Gaza checkpoint (S)'",2004-12-15,Foreign Desk,b'Palestinian Urges Arabs to End Violence',nyt://article/593ebc96-63c5-5732-849a-eccc99690e63,"['Israel', 'Gaza Strip']",World,"b'Mahmoud Abbas, leading Palestinian election candidate, tells Arabic newspaper in London that armed uprising against Israel was mistake and must end; explicit condemnation suggests different strategy following death of Yasir Arafat; remarks follow ...'",The New York Times,"['Palestinians', 'Bombs and Explosives', 'Terrorism']",News,https://www.nytimes.com/2004/12/15/world/middleeast/palestinian-urges-arabs-to-end-violence.html,745.0
85,85,"b'Sheik Mohammed Ali Hassan al-Moayad, charged with financing terrorist groups, says that Brooklyn prosecutor offered him $1 million to become informer and that his American defense lawyer Howard L Jacobs appears to be siding with prosecutors; says that prosecutors are keeping him from meeting with Yemeni lawyer Khaled al-Anesi, who began working with his legal team several months ago; Jacobs says prosecutors asked him to ask Moayad if he knew of any possible terrorist activities, but no mention of money was made; Anesi says he is being paid by Yemeni government to help Moayad (M)'",2004-12-15,Metropolitan Desk,"b'In Court Outburst, Sheik Assails Prosecutors and His Lawyer'",nyt://article/cedcf167-0195-5995-8d67-9335f6838a08,"['Yemen', 'Brooklyn (NYC)', 'New York City']",New York,"b'Sheik Mohammed Ali Hassan al-Moayad, charged with financing terrorist groups, says that Brooklyn prosecutor offered him $1 million to become informer and that his American defense lawyer Howard L Jacobs appears to be siding with prosecutors; says ...'",The New York Times,['Terrorism'],News,https://www.nytimes.com/2004/12/15/nyregion/in-court-outburst-sheik-assails-prosecutors-and-his-lawyer.html,1002.0
93,93,"b'Letter from Europe on anxiety in Germany and other countries over large population of Muslim immigrants who refuse to assimilate and, in age of terrorism, include numbers of radicalized youth; photo; prominent Germans including former Chancellor Helmut Schmidt and conservative political leader Angela Merkel give voice to widespread view that multicultural approach has failed (M)'",2004-12-15,Foreign Desk,b'A Continent Watching Anxiously Over the Melting Pot',nyt://article/66a9e73b-7b7c-5ecc-a0d1-531cd8da38f2,['Germany'],World,"b'Letter from Europe on anxiety in Germany and other countries over large population of Muslim immigrants who refuse to assimilate and, in age of terrorism, include numbers of radicalized youth; photo; prominent Germans including former Chancellor H...'",The New York Times,"['Terrorism', 'ELECTION ISSUES', 'Islam', 'IMMIGRATION AND REFUGEES', 'Social Conditions and Trends', 'PUBLIC OPINION']",News,https://www.nytimes.com/2004/12/15/world/letter-from-europe-a-continent-watching-anxiously-over-the-melting.html,1086.0
77,77,"b'A recording broadcast today accuses the ruling dynasty in Osama bin Laden\'s Saudi homeland of being the ""agents of infidels.""'",2004-12-16,International / Middle East,b'Recording Said to Be Bin Laden Praises Attack in Saudi Arabia',nyt://article/40d786b3-66e2-59a0-ac02-915fbf438b9c,['Saudi Arabia'],World,"b'A recording broadcast today accuses the ruling dynasty in Osama bin Laden\'s Saudi homeland of being the ""agents of infidels.""'",The New York Times,['Terrorism'],News,https://www.nytimes.com/2004/12/16/international/middleeast/recording-said-to-be-bin-laden-praises-attack-in.html,913.0
74,74,"b'Justice Department brings new charges against Karim Koubriti and Ahmed Hannan, Moroccan men it once accused of being part of terror cell in Detroit; they are charged with faking injuries in car accidents as part of conspiracy to defraud insurance company (S)'",2004-12-16,National Desk,b'2 Ex-Terror Suspects Face Fraud Charges',nyt://article/bd16b635-4f80-522c-baa5-ecc0b6f68ecc,"['Morocco', 'Detroit (Mich)']",U.S.,"b'Justice Department brings new charges against Karim Koubriti and Ahmed Hannan, Moroccan men it once accused of being part of terror cell in Detroit; they are charged with faking injuries in car accidents as part of conspiracy to defraud insurance ...'",The New York Times,"['ACCIDENTS AND SAFETY', 'Frauds and Swindling', 'Insurance', 'Automobile Insurance and Liability', 'Terrorism']",News,https://www.nytimes.com/2004/12/16/us/2-exterror-suspects-face-fraud-charges.html,210.0
91,91,"b""Several former high-ranking military lawyers say they are discussing ways to oppose Pres Bush's nomination of Alberto R Gonzales to be attorney general, asserting that Gonzales's supervision of legal memorandums that appeared to sanction harsh treatment of detainees, even torture, shows unsound legal judgment; hearings on nomination are expected to begin next month, and while confirmation is expected, objections would be embarrassment for White House; Rear Adm John D Hutson, who served as Navy's judge advocate general from 1997 to 2000, and Brig Gen James Cullen, retired from Army are among those opposing nomination; photo (M)""",2004-12-16,National Desk,b'Ex-Military Lawyers Object to Bush Cabinet Nominee',nyt://article/19dea780-c85f-5927-ae3f-461e3dfed618,"['Iraq', 'AFGHANISTAN']",U.S.,"b""Several former high-ranking military lawyers say they are discussing ways to oppose Pres Bush's nomination of Alberto R Gonzales to be attorney general, asserting that Gonzales's supervision of legal memorandums that appeared to sanction harsh tre...""",The New York Times,"['CABINETS AND SUB-CABINETS', 'United States International Relations', 'Prisoners of War', 'Terrorism', 'Torture', 'UNITED STATES ARMAMENT AND DEFENSE']",News,https://www.nytimes.com/2004/12/16/politics/exmilitary-lawyers-object-to-bush-cabinet-nominee.html,942.0
92,92,"b'US military begins new set of hearings at Guantanamo Bay intended to release detainees when military determines that they are no longer threats; original hearings are almost completed; after detainees have been through first set of hearings and are found to have been properly detained, their cases will be reviewed annually to see whether they are eligible for release (M)'",2004-12-16,National Desk,b'New Round of Hearings at Guant\xc3\xa1namo',nyt://article/733f8a16-435d-5a4c-989c-e30278c60dcf,"['Guantanamo Bay Naval Base (Cuba)', 'Cuba', 'AFGHANISTAN']",U.S.,b'US military begins new set of hearings at Guantanamo Bay intended to release detainees when military determines that they are no longer threats; original hearings are almost completed; after detainees have been through first set of hearings and ar...',The New York Times,"['United States International Relations', 'Military Bases and Installations', 'Prisoners of War', 'Terrorism', 'UNITED STATES ARMAMENT AND DEFENSE']",News,https://www.nytimes.com/2004/12/16/politics/new-round-of-hearings-at-guantanamo.html,268.0
1,1,"b""Britain's highest court ruled today that the British government cannot indefinitely detain foreigners suspected of terrorism.""",2004-12-16,International / Europe,"b""Britain's Highest Court Overturns Anti-Terrorism Law""",nyt://article/55e9abbc-860e-5d9d-9b03-d9114cb8425b,['Great Britain'],World,"b""Britain's highest court ruled today that the British government cannot indefinitely detain foreigners suspected of terrorism.""",The New York Times,"['Terrorism', 'Decisions and Verdicts']",News,https://www.nytimes.com/2004/12/16/international/europe/britains-highest-court-overturns-antiterrorism-law.html,1079.0
88,88,"b'Architects of World Trade Center Memorial show city and state officials schematic design that gives greater detail on spaces that will compose memorial when it opens in 2009; memorial will preserve memory of those who died in Sept 11 attacks, as well as visible and tangible remains of towers, including parts of footings and original slurry wall; will have plaza forested with 300 oak trees and open civic gathering place for as many as 10,000 people; central memorial hall will be 30 feet below ground and have pool-filled voids to mark absent towers; unidentified remains will be entombed 40 feet below that; photo, drawing (M)'",2004-12-17,Metropolitan Desk,"b""Memorial Will Preserve Twin Towers' Remnants""",nyt://article/84f91179-2926-5b68-b73c-f30c39e6041c,['New York City'],New York,"b'Architects of World Trade Center Memorial show city and state officials schematic design that gives greater detail on spaces that will compose memorial when it opens in 2009; memorial will preserve memory of those who died in Sept 11 attacks, as w...'",The New York Times,"['World Trade Center (NYC)', 'Monuments and Memorials', 'Terrorism']",News,https://www.nytimes.com/2004/12/17/nyregion/memorial-will-preserve-twin-towers-remnants.html,1105.0
84,84,"b'Clyde Habeman column on how mother of Firefighter Thomas J Brick keeps her promise to never regret his going into Fire Dept; Brick was killed in fire in Manhattan on Dec 16, 2003; contrasts what families of most fallen heroes receive in compensation for death in line of duty to estimated $4.2 million received families of uniformed personnel who died in Sept 11 attacks received; photo (M)'",2004-12-17,Metropolitan Desk,b'A Promise to a Son Who Fell Alone',nyt://article/a642b762-f3ea-53bb-9315-f8663d8a0df1,['New York City'],New York,"b'Clyde Habeman column on how mother of Firefighter Thomas J Brick keeps her promise to never regret his going into Fire Dept; Brick was killed in fire in Manhattan on Dec 16, 2003; contrasts what families of most fallen heroes receive in compensati...'",The New York Times,"['ACCIDENTS AND SAFETY', 'World Trade Center (NYC)', 'FIRES AND FIREMEN', 'Terrorism', 'Fires and Firefighters']",News,https://www.nytimes.com/2004/12/17/nyregion/a-promise-to-a-son-who-fell-alone.html,832.0
95,95,"b'Army National Guard announces that it has fallen 30 percent below recruiting goals in last two months and will offer new incentives, including enlistment bonuses of up to $15,000; Lt Gen H Steven Blum, head of National Guard Bureau, also announces that he needs $20 billion to replace arms and equipment destroyed in Iraq and Afghanistan or left there for other Army and Air Guard units to use; sharp decline, attributed to war in Iraq, is significant because National Guard and Army Reserve soldiers now make up nearly 40 percent of troops in Iraq and are vital source for filling ranks (M)'",2004-12-17,National Desk,b'Guard Reports Serious Drop in Enlistment',nyt://article/f3edb79d-ce0f-5094-967d-9c6e45ce8932,"['Iraq', 'AFGHANISTAN']",U.S.,"b'Army National Guard announces that it has fallen 30 percent below recruiting goals in last two months and will offer new incentives, including enlistment bonuses of up to $15,000; Lt Gen H Steven Blum, head of National Guard Bureau, also announces...'",The New York Times,"['United States International Relations', 'Reserves (Military)', 'Hiring and Promotion', 'Draft and Recruitment (Military)', 'Military Personnel', 'Terrorism', 'UNITED STATES ARMAMENT AND DEFENSE']",News,https://www.nytimes.com/2004/12/17/politics/guard-reports-serious-drop-in-enlistment.html,1257.0
81,81,b'Seventeen men are indicted for defrauding Port Authority of as much as $2.5 million by overcharging it for work removing asbestos from artifacts recovered from World Trade Center (S)',2004-12-17,Metropolitan Desk,b'Metro Briefing | New York: Manhattan: 17 Accused Of Racketeering',nyt://article/10b9a677-5d44-553e-906c-87fa467beead,['New York City'],New York,b'Seventeen men are indicted for defrauding Port Authority of as much as $2.5 million by overcharging it for work removing asbestos from artifacts recovered from World Trade Center (S)',The New York Times,"['Frauds and Swindling', 'World Trade Center (NYC)', 'Asbestos', 'Terrorism']",News,https://www.nytimes.com/2004/12/17/nyregion/metro-briefing-new-york-manhattan-17-accused-of-racketeering.html,107.0
78,78,"b'The bill will put into effect the major recommendations of the panel that investigated the attacks of Sept. 11, 2001.'",2004-12-17,Washington,b'Bush Signs Bill to Revamp U.S. Intelligence Community',nyt://article/18a738a6-f345-5c1c-b6bd-e1f5d30cdbe6,[],U.S.,"b'The bill will put into effect the major recommendations of the panel that investigated the attacks of Sept. 11, 2001.'",The New York Times,"['United States Politics and Government', 'Terrorism']",News,https://www.nytimes.com/2004/12/17/politics/bush-signs-bill-to-revamp-us-intelligence-community.html,554.0
75,75,"b""Audiotape said to be by Osama bin Laden, posted in Islamist Web site, accuses Saudi dynasty of being 'agents of infidels' and applauds recent attack against US consulate in Jidda; tape coincides with plans for mass anti-government demonstration; Qaeda leader apparently turns attention to homeland to draw attention to his long-stated wish to overthrow government and set up some sort of Islamic caliphate (M)""",2004-12-17,Foreign Desk,"b""A Taped Voice, Said to Be bin Laden's, Criticizes Saudis""",nyt://article/80627da0-17c5-57f2-849d-6a13b1704f55,"['Jidda (Saudi Arabia)', 'Saudi Arabia']",U.S.,"b""Audiotape said to be by Osama bin Laden, posted in Islamist Web site, accuses Saudi dynasty of being 'agents of infidels' and applauds recent attack against US consulate in Jidda; tape coincides with plans for mass anti-government demonstration; Q...""",The New York Times,"['United States International Relations', 'Demonstrations and Riots', 'Terrorism']",News,https://www.nytimes.com/2004/12/17/world/middleeast/a-taped-voice-said-to-be-bin-ladens-criticizes-saudis.html,936.0
89,89,"b""Libyan leader Muammar el-Qaddafi, displaying usual theatrical flair, tells Italian television interviewer that his pledge to give up prohibited weapons won re-election for Pres Bush, and he is waiting to be rewarded with nuclear technology for nonmilitary purposes; says Libya is now partner in war against terrorism, warns that allowing Turkey into European Union would be Trojan horse for Islam and proposes resolving Israeli-Palestinian issue with single state called 'Isratine' (M)""",2004-12-17,Foreign Desk,b'Congo Peacekeeper Sex Scandal: Investigators Said to Be Threatened',nyt://article/b97e5439-7928-5d32-a791-cf2c98ae872a,"['Europe', 'CONGO', 'Israel', 'Libya', 'Turkey']",U.S.,"b'Libyan leader Muammar el-Qaddafi, displaying usual theatrical flair, tells Italian television interviewer that his pledge to give up prohibited weapons won re-election for Pres Bush, and he is waiting to be rewarded with nuclear technology for non...'",The New York Times,"['ATOMIC WEAPONS', 'United States International Relations', 'Palestinians', 'Sex Crimes', 'ELECTION ISSUES', 'Islam', 'Terrorism', 'Presidential Election of 2004']",News,https://www.nytimes.com/2004/12/17/world/africa/congo-peacekeeper-sex-scandal-investigators-said-to-be.html,394.0
72,72,"b""Timothy Garton Ash Op-Ed article says Ukraine's and Turkey's desire for membership in European Union is tribute to magnetic power of body that American policymakers have dangerously underrated in last four years; says European Union's agreement to open membership negotiations with Turkey will be bigger contribution to winning war on terrorism than American-led occupation of Iraq; says most distinctive feature of European power is that European Union is getting larger while US is not; drawing""",2004-12-17,Editorial Desk,"b'The Great Powers of Europe, Redefined'",nyt://article/ba894101-6875-530c-b382-d2d102f8a2b6,"['Iraq', 'Europe', 'Ukraine', 'Turkey']",Opinion,"b""Timothy Garton Ash Op-Ed article says Ukraine's and Turkey's desire for membership in European Union is tribute to magnetic power of body that American policymakers have dangerously underrated in last four years; says European Union's agreement to...""",The New York Times,"['United States International Relations', 'Terrorism', 'UNITED STATES ARMAMENT AND DEFENSE']",Op-Ed,https://www.nytimes.com/2004/12/17/opinion/the-great-powers-of-europe-redefined.html,1171.0
